Informations de la variable,,,,,,,,,
Variable,Position,Etiquette,Niveau de mesure,Rôle,Largeur des colonnes,Alignement,Format d'impression,Format d'écriture,Valeurs manquantes
Q37_O,109,Quel est l'offre internet que vous activez le plus sur votre clé internet ces 30 derniers jours et combien de l'avez-vous fait ?,Echelle,Entrée,17,Droite,F8.2,F8.2,",00, ,00"
Q37_OO,110,<aucune>,Nominale,Entrée,9,Gauche,A255,A255,
Q37_D,111,Quel est l'offre internet que vous activez le plus sur votre clé internet ces 30 derniers jours et combien de l'avez-vous fait ?,Nominale,Entrée,22,Droite,F8.2,F8.2,",00, ,00"
Q37_DO,112,<aucune>,Nominale,Entrée,8,Gauche,A255,A255,
Q37_M,113,Quel est l'offre internet que vous activez le plus sur votre clé internet ces 30 derniers jours et combien de l'avez-vous fait ?,Echelle,Entrée,15,Droite,F8.2,F8.2,",00, ,00"
Q37_MO,114,<aucune>,Nominale,Entrée,11,Gauche,A255,A255,
Q38,115,Quel a été le montant de vos dépenses internet sur la clé Internet durant ces 30 derniers jours ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q39,116,Quel est lopérateur de Votre PUCE Internet ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q39_A,117,S'agit-il d'une connexion ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q40,118,Sagit-t-il dune PUCE Internet Personnelle ou Professionnelle ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q41,119,S'agit-t-il d'une PUCE Internet PREPAYEES ou POSTPAYEES ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q42_O,120,Quel est l'offre internet que vous avez activez le plus sur votre PUCE internet ces 30 derniers jours et l'avez-vous fait ?,Echelle,Entrée,15,Droite,F8.2,F8.2,",00, ,00"
Q42_OO,121,<aucune>,Nominale,Entrée,13,Gauche,A255,A255,
Q42_D,122,Quel est l'offre internet que vous avez activez le plus sur votre PUCE internet ces 30 derniers jours et l'avez-vous fait ?,Nominale,Entrée,14,Droite,F8.2,F8.2,",00, ,00"
Q42_DO,123,<aucune>,Nominale,Entrée,8,Gauche,A255,A255,
Q42_M,124,Quel est l'offre internet que vous avez activez le plus sur votre PUCE internet ces 30 derniers jours et l'avez-vous fait ?,Echelle,Entrée,26,Droite,F8.2,F8.2,",00, ,00"
Q42_MO,125,<aucune>,Nominale,Entrée,8,Gauche,A255,A255,
Q43,126,Quel a été le montant de vos dépenses internet sur votre PUCE Internet durant ces 30 derniers jours ?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
Q44,127,Etes-vous satisfait de l'utilisation d'internet mobile 4G?,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
A2,128,Noter le sexe de l'interviewé :,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
A3,129,Quel est votre âge :,Echelle,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
CODAGE,130,Age en tranche,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
A4_A,131,Quel est votre occupation principale ?,Nominale,Entrée,25,Droite,F8.2,F8.2,",00, ,00"
CODA4_A,132,Recoder occupation principale,Nominale,Entrée,20,Droite,F8.2,F8.2,",00, ,00"
F6,133,Commentaire Global,Nominale,Entrée,8,Droite,F8.2,F8.2,",00, ,00"
F6O,134,<aucune>,Nominale,Entrée,45,Gauche,A255,A255,
Variables du fichier de travail,,,,,,,,,

Valeurs des variables,,,,,,,,,
Valeur,,Etiquette,,,,,,,
VILLEF,"1,00",Adrar,,,,,,,
,"2,00",Chlef,,,,,,,
,"3,00",Laghouat,,,,,,,
,"4,00",O. E. Bouaghi,,,,,,,
,"5,00",Batna,,,,,,,
,"6,00",Bejaia,,,,,,,
,"7,00",Biskra,,,,,,,
,"8,00",Bechar,,,,,,,
,"9,00",Blida,,,,,,,
,"10,00",Bouira,,,,,,,
,"11,00",Tamenrasset,,,,,,,
,"12,00",Tebassa,,,,,,,
,"13,00",Tlemcen,,,,,,,
,"14,00",Tiaret,,,,,,,
,"15,00",TiziOuzou,,,,,,,
,"16,00",Alger,,,,,,,
,"17,00",Djelfa,,,,,,,
,"18,00",Jijel,,,,,,,
,"19,00",Setif,,,,,,,
,"20,00",Saida,,,,,,,
,"21,00",Skikda,,,,,,,
,"22,00",SidiBel Abbes,,,,,,,
,"23,00",Annaba,,,,,,,
,"24,00",Guelma,,,,,,,
,"25,00",Constantine,,,,,,,
,"26,00",Medea,,,,,,,
,"27,00",Mostaganem,,,,,,,
,"28,00",M'sila,,,,,,,
,"29,00",Mascara,,,,,,,
,"30,00",Ouargla,,,,,,,
,"31,00",Oran,,,,,,,
,"32,00",El Bayadh,,,,,,,
,"33,00",Illizi,,,,,,,
,"34,00",B.B.Arreridj,,,,,,,
,"35,00",Boumerdes,,,,,,,
,"36,00",El Taref,,,,,,,
,"37,00",Tindouf,,,,,,,
,"38,00",Tissemsilt,,,,,,,
,"39,00",El Oued,,,,,,,
,"40,00",Khenchela,,,,,,,
,"41,00",Souk Ahras,,,,,,,
,"42,00",Tipaza,,,,,,,
,"43,00",Mila,,,,,,,
,"44,00",Ain Defla,,,,,,,
,"45,00",Naama,,,,,,,
,"46,00",AinTemouchent,,,,,,,
,"47,00",Ghardaia,,,,,,,
,"48,00",Relizane,,,,,,,
INT01,20,Non,,,,,,,
,21,Oui,,,,,,,
,22,Pas le temps,,,,,,,
Q1,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
A1,"1,00",Adrar,,,,,,,
,"2,00",Chlef,,,,,,,
,"3,00",Laghouat,,,,,,,
,"4,00",O. E. Bouaghi,,,,,,,
,"5,00",Batna,,,,,,,
,"6,00",Bejaia,,,,,,,
,"7,00",Biskra,,,,,,,
,"8,00",Bechar,,,,,,,
,"9,00",Blida,,,,,,,
,"10,00",Bouira,,,,,,,
,"11,00",Tamenrasset,,,,,,,
,"12,00",Tebassa,,,,,,,
,"13,00",Tlemcen,,,,,,,
,"14,00",Tiaret,,,,,,,
,"15,00",TiziOuzou,,,,,,,
,"16,00",Alger,,,,,,,
,"17,00",Djelfa,,,,,,,
,"18,00",Jijel,,,,,,,
,"19,00",Setif,,,,,,,
,"20,00",Saida,,,,,,,
,"21,00",Skikda,,,,,,,
,"22,00",SidiBel Abbes,,,,,,,
,"23,00",Annaba,,,,,,,
,"24,00",Guelma,,,,,,,
,"25,00",Constantine,,,,,,,
,"26,00",Medea,,,,,,,
,"27,00",Mostaganem,,,,,,,
,"28,00",M'sila,,,,,,,
,"29,00",Mascara,,,,,,,
,"30,00",Ouargla,,,,,,,
,"31,00",Oran,,,,,,,
,"32,00",El Bayadh,,,,,,,
,"33,00",Illizi,,,,,,,
,"34,00",B.B.Arreridj,,,,,,,
,"35,00",Boumerdes,,,,,,,
,"36,00",El Taref,,,,,,,
,"37,00",Tindouf,,,,,,,
,"38,00",Tissemsilt,,,,,,,
,"39,00",El Oued,,,,,,,
,"40,00",Khenchela,,,,,,,
,"41,00",Souk Ahras,,,,,,,
,"42,00",Tipaza,,,,,,,
,"43,00",Mila,,,,,,,
,"44,00",Ain Defla,,,,,,,
,"45,00",Naama,,,,,,,
,"46,00",AinTemouchent,,,,,,,
,"47,00",Ghardaia,,,,,,,
,"48,00",Relizane,,,,,,,
Q2,"1,00", Personnelle,,,,,,,
,"2,00", Professionnelle,,,,,,,
Q3,"1,00",PREPAYEES,,,,,,,
,"2,00",POSTPAYEES,,,,,,,
Q3_AC1,"1,00",Un pack Smartphone avec puce 4G  Ooredoo,,,,,,,
Q3_AC2,"1,00",Un pack Smartphone avec puce 4G mobilis,,,,,,,
Q3_AC3,"1,00",Un pack Smartphone avec puce 4G Djezzy,,,,,,,
Q3_AC4,"1,00",Un pack Tablette avec puce 4G  Ooredoo,,,,,,,
Q3_AC5,"1,00",Un pack Tablette avec puce 4G mobilis,,,,,,,
Q3_AC6,"1,00",Un pack Tablette avec puce 4G Djezzy,,,,,,,
Q3_AC7,"1,00",Clé Internet  avec puce 4G  Ooredoo,,,,,,,
Q3_AC8,"1,00",Clé Internet avec puce 4G mobilis,,,,,,,
Q3_AC9,"1,00",Clé Internet avec puce 4G Djezzy,,,,,,,
Q3_AC10,"1,00",aucun,,,,,,,
Q4,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
Q4_A,"1,00",Connexion 3G,,,,,,,
,"2,00",Connexion 4G,,,,,,,
,"3,00",Connexion  2G,,,,,,,
Q5,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
Q6,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
Q7,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
Q8,"1,00",[0 Mo - 200 Mo[,,,,,,,
